n_patterns,pattern_index,trial,strict_success,inversion_tolerant_success,final_energy
3,2,1,1,1,-49.86
3,0,2,0,0,-46.88000000000001
3,1,2,1,1,-50.10000000000001
3,2,2,0,0,-47.680000000000014
3,0,3,1,1,-48.900000000000006
3,1,3,1,1,-50.10000000000001
3,2,3,1,1,-49.86
3,0,4,1,1,-48.900000000000006
3,1,4,1,1,-50.10000000000001
3,2,4,1,1,-49.86
3,0,5,1,1,-48.900000000000006
3,1,5,1,1,-50.10000000000001
3,2,5,1,1,-49.86
3,0,6,0,0,-47.20000000000001
3,1,6,0,0,-47.68000000000001
3,2,6,1,1,-49.86
3,0,7,0,0,-47.04000000000001
3,1,7,1,1,-50.10000000000001
3,2,7,0,0,-47.519999999999996
3,0,8,0,0,-46.88000000000001
3,1,8,0,0,-45.94000000000001
3,2,8,0,0,-47.68000000000001
3,0,9,1,1,-48.900000000000006
3,1,9,0,0,-48.0
3,2,9,1,1,-49.86
3,0,10,1,1,-48.900000000000006
3,1,10,1,1,-50.10000000000001
3,2,10,0,0,-47.519999999999996
3,0,11,0,0,-46.72000000000001
3,1,11,1,1,-50.10000000000001
3,2,11,1,1,-49.86
3,0,12,1,1,-48.900000000000006
3,1,12,1,1,-50.10000000000001
3,2,12,0,0,-47.519999999999996
3,0,13,1,1,-48.900000000000006
3,1,13,1,1,-50.10000000000001
3,2,13,1,1,-49.86
3,0,14,1,1,-48.900000000000006
3,1,14,0,0,-48.0
3,2,14,1,1,-49.86
3,0,15,1,1,-48.900000000000006
3,1,15,1,1,-50.10000000000001
3,2,15,1,1,-49.86
3,0,16,1,1,-48.900000000000006
3,1,16,1,1,-50.10000000000001
3,2,16,1,1,-49.86
3,0,17,1,1,-48.900000000000006
3,1,17,0,0,-47.68000000000001
3,2,17,0,0,-48.32
3,0,18,1,1,-48.900000000000006
3,1,18,1,1,-50.10000000000001
3,2,18,0,0,-48.32
3,0,19,1,1,-48.900000000000006
3,1,19,1,1,-50.10000000000001
3,2,19,0,0,-45.379999999999995
3,0,20,0,0,-45.379999999999995
3,1,20,1,1,-50.10000000000001
3,2,20,0,0,-48.16000000000001
3,0,21,0,0,-41.460000000000015
3,1,21,1,1,-50.10000000000001
3,2,21,1,1,-49.86
3,0,22,0,0,-44.89999999999999
3,1,22,0,0,-45.38
3,2,22,1,1,-49.86
3,0,23,1,1,-48.900000000000006
3,1,23,1,1,-50.10000000000001
3,2,23,1,1,-49.86
3,0,24,1,1,-48.900000000000006
3,1,24,1,1,-50.10000000000001
3,2,24,1,1,-49.86
3,0,25,1,1,-48.900000000000006
3,1,25,1,1,-50.10000000000001
3,2,25,0,0,-47.519999999999996
3,0,26,1,1,-48.900000000000006
3,1,26,0,0,-48.31999999999999
3,2,26,1,1,-49.86
3,0,27,1,1,-48.900000000000006
3,1,27,0,0,-48.640000000000015
3,2,27,1,1,-49.86
3,0,28,1,1,-48.900000000000006
3,1,28,1,1,-50.10000000000001
3,2,28,1,1,-49.86
3,0,29,0,0,-44.74
3,1,29,1,1,-50.10000000000001
3,2,29,1,1,-49.86
3,0,30,1,1,-48.900000000000006
3,1,30,1,1,-50.10000000000001
3,2,30,1,1,-49.86
3,0,31,1,1,-48.900000000000006
3,1,31,1,1,-50.10000000000001
3,2,31,1,1,-49.86
3,0,32,1,1,-48.900000000000006
3,1,32,1,1,-50.10000000000001
3,2,32,1,1,-49.86
3,0,33,1,1,-48.900000000000006
3,1,33,1,1,-50.10000000000001
