trial,classification,final_energy,hamming_to_nearest_stored
212,Inverted,-44.900000,98
213,Inverted,-48.900000,100
214,Inverted,-49.860000,100
215,Inverted,-46.900000,98
216,Stored,-47.200000,1
217,Unknown Attractor,-30.880000,23
218,Stored,-48.900000,0
219,Unknown Attractor,-37.920000,21
220,Unknown Attractor,-38.660000,20
221,Stored,-48.900000,0
222,Inverted,-48.900000,100
223,Mixture,-43.700000,74
224,Mixture,-43.700000,26
225,Inverted,-49.860000,100
226,Mixture,-40.480000,27
227,Inverted,-48.900000,100
228,Inverted,-50.100000,100
229,Mixture,-43.700000,26
230,Stored,-50.100000,0
231,Mixture,-43.700000,26
232,Stored,-50.100000,0
233,Stored,-48.900000,0
234,Unknown Attractor,-38.660000,20
235,Inverted,-48.320000,99
236,Inverted,-46.720000,99
237,Stored,-49.860000,0
238,Stored,-47.680000,1
239,Mixture,-43.700000,74
240,Stored,-50.100000,0
241,Stored,-49.860000,0
242,Stored,-48.900000,0
243,Stored,-47.520000,1
244,Unknown Attractor,-38.660000,22
245,Unknown Attractor,-33.600000,21
246,Stored,-47.680000,1
247,Stored,-48.900000,0
248,Inverted,-47.520000,99
249,Mixture,-43.700000,26
250,Inverted,-50.100000,100
251,Stored,-50.100000,0
252,Inverted,-50.100000,100
253,Stored,-49.860000,0
254,Stored,-48.000000,1
255,Mixture,-41.860000,28
256,Stored,-47.520000,1
257,Unknown Attractor,-37.120000,21
258,Unknown Attractor,-38.660000,22
259,Stored,-48.900000,0
260,Inverted,-48.900000,100
261,Stored,-47.680000,1
262,Mixture,-42.720000,73
263,Inverted,-50.100000,100
264,Inverted,-48.900000,100
265,Inverted,-49.860000,100
266,Stored,-50.100000,0
267,Stored,-50.100000,0
268,Stored,-48.900000,0
269,Stored,-48.160000,1
270,Inverted,-50.100000,100
271,Inverted,-48.900000,100
272,Inverted,-50.100000,100
273,Inverted,-38.580000,94
274,Unknown Attractor,-34.500000,68
275,Inverted,-49.860000,100
276,Inverted,-48.320000,99
277,Stored,-48.900000,0
278,Stored,-48.640000,1
279,Mixture,-43.700000,74
280,Inverted,-48.900000,100
281,Inverted,-48.900000,100
282,Unknown Attractor,-32.180000,26
283,Unknown Attractor,-35.680000,23
284,Unknown Attractor,-32.180000,22
285,Mixture,-43.700000,74
286,Inverted,-49.860000,100
287,Inverted,-48.160000,99
288,Stored,-48.900000,0
289,Inverted,-47.040000,99
290,Stored,-48.900000,0
291,Inverted,-50.100000,100
292,Mixture,-40.480000,73
293,Inverted,-46.880000,99
294,Stored,-50.100000,0
295,Inverted,-46.880000,99
296,Stored,-48.900000,0
297,Stored,-46.880000,1
298,Unknown Attractor,-32.180000,26
299,Inverted,-47.200000,99
300,Stored,-48.900000,0
301,Stored,-49.860000,0
302,Mixture,-42.400000,25
303,Stored,-49.860000,0
304,Inverted,-47.040000,99
305,Stored,-48.900000,0
306,Stored,-50.100000,0
307,Mixture,-42.720000,27
308,Stored,-45.860000,2
309,Mixture,-43.700000,26
310,Mixture,-42.720000,73
311,Inverted,-48.000000,99
312,Stored,-48.900000,0
313,Inverted,-50.100000,100
314,Stored,-50.100000,0
315,Inverted,-50.100000,100
316,Inverted,-48.900000,100
317,Stored,-46.180000,2
318,Mixture,-43.700000,74
319,Stored,-48.900000,0
320,Inverted,-45.940000,98
321,Inverted,-47.200000,99
322,Stored,-48.900000,0
